delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.7,1000,exp,0,1,1,8,20.595923207933083,21.588264749851078,21.588264749851078,21.588264749851078,space,0.6666010830085725,22.967918541577333,23.42948937485926,23.42948937485926,23.42948937485926,6,2,"[6.970356540987268, 1.3543444590177387]","[6.970359040889889, 1.3543465421535075]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,0,2,2,7,24.77943820785731,25.76415141695179,25.76415141695179,25.770731332944706,space,0.6570146658923477,26.830878833603734,27.291081917006522,27.291081917006522,27.291081917006522,12,3,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928]","[6.970359040889889, 1.3543465421535075, 2.509340250166133]",27.291081917006522,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,0,5,5,11,41.81307279202156,42.79783704201691,42.79783704201691,42.804612499894574,space,0.8874235830735415,44.397954958553115,44.85708854184486,44.85708854184486,44.85708854184486,123,6,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357]",44.85708854184486,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,0,6,6,6,48.24628495797515,49.23948916699737,49.23948916699737,49.23948916699737,space,3.147982249269262,52.50414104160542,52.965076041873544,52.965076041873544,52.965076041873544,6,7,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,0,7,7,9,54.229987791972235,55.213048707926646,55.213048707926646,55.21816183300689,space,0.9527268330566585,56.28105633362817,56.74120233301073,56.74120233301073,56.74120233301073,56,8,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,0,8,8,10,58.713394874939695,59.69802249991335,59.69802249991335,59.70517420792021,space,1.4083662079647183,61.520945041502515,61.98098799982108,61.98098799982108,61.98098799982108,276,9,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,0,9,9,4,68.19684337,69.18144854204729,69.18144854204729,69.18890362489037,space,0.8222812910098583,70.40495887451495,70.86555929202586,70.86555929202586,70.86555929202586,176,10,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,0,10,10,5,73.5803205,74.56508020800538,74.56508020800538,74.57247212482616,space,1.356734833214432,76.63122104161108,77.09216300002299,77.09216300002299,77.09216300002299,34,11,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.1,1000,exp,0,11,11,3,78.88049345789477,79.86506983288564,79.86506983288564,79.87278537498787,space,1.2499869582243264,81.22145079152348,81.68144625,81.68144625,81.68144625,45,12,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.7,1000,exp,1,0,12,11,83.36379520804621,84.34855808294378,84.34855808294378,84.35590254189447,space,1.367199125001207,86.42158687,86.88257158291526,86.88257158291526,86.88257158291526,100,13,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
0.4,1000,exp,1,2,14,4,97.51399195799604,98.49874416692182,98.49874416692182,98.50613337,space,1.061653041979298,99.97176762,100.43217187491246,100.43217187491246,100.43217187491246,400,15,"[6.970356540987268, 1.3543444590177387, 2.5093380000907928, 1.6533958341460675, 1.2592608330305666, 3.3938830827828497, 1.2697460828348994, 1.975330375134945, 6.219619625015184, 2.718223250005394, 1.7921304169576615, 1.68609350011684, 2.2686470421031117, 4.776966624893248, 2.385246125049889]","[6.970359040889889, 1.3543465421535075, 2.509340250166133, 1.6533978341612965, 1.259263041894883, 3.393885707948357, 1.2697479999624193, 1.9753325839992613, 6.2196223749779165, 2.718225250020623, 1.7921325420029461, 1.6860957089811563, 2.26864904188551, 4.776968624908477, 2.3852483751252294]",,964143,001,2023-10-27_12h00.37.384,tutorial7_intentional_binding,2022.2.4,None
